"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
workplace_health_other,demographics,,text,"D5a1other.  Describe other role.",,,,,,,[workplace_health_role]='10',y,,,,,
workplace_nothealth_role,demographics,,radio,"D5a2.  If the setting is criminal justice, legal system, or public safety and the role is NOT health care, behavioral health, or social service delivery options, which of the following best describes your primary professional role in your current job?  (Select one.)","1, Judge or Judicial Officer | 2, Legal counsel (e.g., prosecutor, public defender) | 3, Court Leadership and Staff (e.g., coordinator/administrator, security, bailiff, court reporter, pre-trial officer) | 4, Court offered peer services or service navigation | 5, Law Enforcement Leadership and Staff (e.g., chief, sheriff officer) | 6, Probation, Parole, or Community Supervision Leadership and Staff (e.g., supervisor, officer) | 7, Prison Leadership and Staff (e.g., warden, prison officer/corrections officer, security) | 8, Jail Leadership and Staff (e.g., warden, correctional officer/detention officer, security) | 9, Other role not listed (specify)  {workplace_nothealth_other}",,,,,,[workplace_health]='0',y,,,,,
workplace_nothealth_other,demographics,,text,"D5a2other.  Describe other role.",,,,,,,[workplace_nothealth_role]='9',y,,,,,
license_yn,demographics,,radio,"D6.  Do you hold a professionally recognized license or certification directly related to your job?","1, Yes | 0, No",,,,,,,y,,,,,
license_specify,demographics,,checkbox,"D6a.  Which license(s) and/or certification(s)?  (Check all that apply.)
","1, Medical license/credential (physician, nurse, EMT, prescriber) | 2, Counseling credential (e.g., LCSW, addiction counselor) | 3, Peer certification / Recovery support specialist (or similar) | 4, Corrections certification | 5, Other (specify) {license_other}",,,,,,[license_yn]='1',y,,,,,
license_other,demographics,,text,"D6b.  Describe other license(s) and/or certification(s).",,,,,,,[license_specify(5)]='1',y,,,,,
boss_opioid_trust,brief_opioid_stigma_scale_boss,"B1.  I believe that a person who uses opioids (including prescription painkillers like oxycodone, hydrocodone, morphine, codeine, fentanyl, and tramadol, as well as the illegal drug heroin)...",radio,"B1a.  ...cannot be trusted.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_opioid,,
boss_opioid_blame,brief_opioid_stigma_scale_boss,,radio,"B1b.  ...is to blame for their problems.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_opioid,,
boss_opioid_lazy,brief_opioid_stigma_scale_boss,,radio,"B1c.  ...is lazy.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_opioid,,
boss_opioid_dangerous,brief_opioid_stigma_scale_boss,,radio,"B1d.  ...is dangerous.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_opioid,,
boss_illicit_trust,brief_opioid_stigma_scale_boss,"B2.  I believe that a person who uses illegal/illicit drugs...",radio,"B2a.  ...cannot be trusted.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_illicit,,
boss_illicit_blame,brief_opioid_stigma_scale_boss,,radio,"B2b.  ...is to blame for their problems.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_illicit,,
boss_illicit_lazy,brief_opioid_stigma_scale_boss,,radio,"B2c.  ...is lazy.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_illicit,,
boss_illicit_dangerous,brief_opioid_stigma_scale_boss,,radio,"B2d.  ...is dangerous.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_illicit,,
boss_meth_trust,brief_opioid_stigma_scale_boss,"B3.  I believe that a person who uses stimulants such as methamphetamine or cocaine/crack...",radio,"B3a.  ...cannot be trusted.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_meth,,
boss_meth_blame,brief_opioid_stigma_scale_boss,,radio,"B3b.  ...is to blame for their problems.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_meth,,
boss_meth_lazy,brief_opioid_stigma_scale_boss,,radio,"B3c.  ...is lazy.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_meth,,
boss_meth_dangerous,brief_opioid_stigma_scale_boss,,radio,"B3d.  ...is dangerous.","1, Strongly disagree | 2, Disagree | 3, Neither agree nor disagree | 4, Agree | 5, Strongly agree",,,,,,,y,,,boss_meth,,
lived_header,lived_and_living_experience,,descriptive,"<div class=""blue"">Lived and Living Experience: Family and Friends  

(OPTIONAL)

There are two response scale options, depending on what the hub prefers.  Note that items L1-L7 will all use the same response options chosen by the hub (i.e., either Option 1 for all 7 items <i>OR</i> Option 2 for all 7 items).",,,,,,,,,,,,,
lived_option1_header,lived_and_living_experience,,descriptive,"<div class=""green""><h6><b>OPTION 1",,,,,,,,,,,,,
lived_disorder_yn,lived_and_living_experience,"Please indicate whether you have any CLOSE family members, significant others, or CLOSE friends who have <i>ever</i> had the following experiences. By CLOSE, we mean someone you have regular contact with or feel emotionally connected to.  Select a response for each experience that applies, even if it is for the same person. As a reminder, your answers are confidential.  Response options are:  Yes, No, I'm unsure.",radio,"L1. Been diagnosed with an alcohol or drug use disorder.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_tx_yn,lived_and_living_experience,,radio,"L2. Participated in addiction treatment or recovery support services.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_recovery_yn,lived_and_living_experience,,radio,"L3. Currently in recovery from an alcohol or drug use disorder.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_odsurvive_yn,lived_and_living_experience,,radio,"L4. Survived an overdose.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_oddeath_yn,lived_and_living_experience,,radio,"L5. Death from an overdose.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_criminal_yn,lived_and_living_experience,,radio,"L6. Criminal-legal system involvement (e.g., arrest, probation, incarceration).","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_mental_yn,lived_and_living_experience,,radio,"L7. Diagnosed mental health condition such as major depression, bipolar disorder, psychotic disorder, schizophrenia, or schizoaffective disorder.","1, Yes | 0, No | 2, I'm unsure",,,,,,,y,,,lived_yesno,,
lived_option2_header,lived_and_living_experience,,descriptive,"<div class=""green""><h6><b>OPTION 2",,,,,,,,,,,,,
